Plymouth State ,NH,US ,KPLY, 43.77, -71.68
Plymouth Arprt ,NH,US ,K1P1, 43.78, -71.75
Gray           ,ME,US ,KGYX, 43.90, -70.25
Buoy           ,--,US , ---, 35.90, -72.90
Buoy           ,--,US , ---, 38.50, -70.70
Buoy           ,--,US , ---, 40.80,-137.60
Buoy           ,--,US , ---, 42.50,-130.30
Buoy           ,--,US , ---, 46.10,-131.10
Taiz (CIV/MIL) ,--,YE , ---, 13.68,  44.15
Riyan          ,--,YE ,OYRN, 14.58,  49.25
Hodeidah (CIV/M,--,YE , ---, 14.75,  42.97
Kona/Hawaii Isl,HI,US , ---, 19.65,-156.00
Al-Hada (AUT)  ,--,SD , ---, 21.30,  40.30
Sasebo         ,--,JP , ---, 33.15, 129.73
Kure           ,--,JP , ---, 34.23, 132.55
Maizuru        ,--,JP , ---, 35.45, 135.32
Ominato        ,--,JP , ---, 41.23, 141.15
McMinniville   ,OR,US , ---, 45.20,-123.13
Krizevci       ,--,RH , ---, 46.03,  16.55
Mallnitz       ,--,OS , ---, 46.98,  13.18
Galzig Mountain,--,OS , ---, 47.13,  10.23
Kufstein       ,--,OS , ---, 47.58,  12.17
Hieflau        ,--,OS , ---, 47.60,  14.75
Unken          ,--,OS , ---, 47.67,  12.75
Rax/Seilbahn-Be,--,OS , ---, 47.72,  15.78
Eisenstadt     ,--,OS , ---, 47.85,  16.53
Linz/Stadt     ,--,OS , ---, 48.30,  14.28
Zwettl         ,--,OS , ---, 48.62,  15.20
Traben-Trarbach,--,DL , ---, 49.97,   7.12
Halle-Kroellwit,--,DL , ---, 51.52,  11.95
Valdez         ,AK,US , ---, 61.13,-146.25
Vega-Vallsjo   ,--,NO , ---, 65.70,  11.85
Kotzebue       ,AK,US , ---, 66.88,-162.60
Barter Island(A,AK,US , ---, 70.13,-143.58
Brisbane Intl A,QU,AU ,ABBN,-27.38, 153.10
Honiara/Henders,--,SO ,AGGH, -9.42, 160.05
Santa Cruz     ,--,SO ,AGGL,-10.70, 165.80
Munda          ,--,SO ,AGGM, -8.33, 157.27
Nauru Island   ,--,NW ,ANAU, -0.53, 166.92
Darwin (CIV/MIL,NT,AU ,APDN,-12.40, 130.87
Sydney Intl Air,NW,AU ,ASSY,-33.95, 151.18
Madang         ,--,NG ,AYMD, -5.22, 145.78
Moresby        ,--,NG ,AYPY, -9.43, 147.22
Wewak          ,--,NG ,AYWK, -3.57, 143.63
Tasiilaq       ,--,GL ,BGAM, 65.60, -37.63
Angisoq        ,--,GL ,BGAS, 59.98, -45.20
Aputiteeq      ,--,GL ,BGAT, 67.78, -32.30
Narssarssuaq   ,--,GL ,BGBW, 61.18, -45.42
Constable Point,--,GL ,BGCO, 70.75, -22.65
Daneborg       ,--,GL ,BGDB, 74.30, -20.22
Danmarkshavn   ,--,GL ,BGDH, 76.77, -18.67
Egedesminde    ,--,GL ,BGEM, 68.70, -52.75
Frederikshaab  ,--,GL ,BGFH, 62.00, -49.67
Groennedal     ,--,GL ,BGGD, 61.23, -48.10
Godthaab\Nuuk  ,--,GL ,BGGH, 64.17, -51.75
Holsteinsborg  ,--,GL ,BGHB, 66.92, -53.67
Julianehaab    ,--,GL ,BGJH, 60.72, -46.05
Jakobshavn Luft,--,GL ,BGJN, 69.23, -51.07
Kulusuk Lufthav,--,GL ,BGKK, 65.58, -37.15
Cape Tobin Auto,--,GL ,BGKT, 70.42, -21.97
Prins Christian,--,GL ,BGPC, 60.05, -43.17
Scoresbysund   ,--,GL ,BGSC, 70.48, -21.95
Sdr Stroemfjord,--,GL ,BGSF, 67.02, -50.70
Thule AFB      ,--,GL ,BGTL, 76.53, -68.75
Akureyri       ,--,IL ,BIAR, 65.68, -18.08
Egilsstadir    ,--,IL ,BIEG, 65.28, -14.37
Grimsey        ,--,IL ,BIGR, 66.53, -18.02
Akurnes        ,--,IL ,BIHN, 64.30, -15.22
Keflavik (CIV\N,--,IL ,BIKF, 63.97, -22.60
Raufarhofn     ,--,IL ,BIRG, 66.45, -15.95
Reykjavik (NOTA,--,IL ,BIRK, 64.13, -21.90
Stykkisholmur  ,--,IL ,BIST, 65.08, -22.73
Vestmannaeyjar ,--,IL ,BIVM, 63.40, -20.28
Skjaldthingssta,--,IL ,BIVO, 65.70, -14.82
Camp Canargus  ,--,HA ,CTPP, 18.57, -72.32
Trowbridge (MAP,ON,CN ,CWAB, 48.30, -88.87
Nitinat Lake (M,BC,CN ,CWAC, 48.67,-124.83
Cape Mudge Ligh,--,CN ,CWAD, 50.00,-125.20
Whistler       ,BC,CN ,CWAE, 50.13,-122.95
Ile Rouge(MAPS),QB,CN ,CWAF, 48.08, -69.55
La Scie        ,NF,CN ,CWAG, 49.92, -55.67
Amherst (MARS) ,NS,CN ,CWAH, 45.85, -64.27
Erieau (MAPS)  ,ON,CN ,CWAJ, 42.25, -81.90
Amphitrite Poin,BC,CN ,CWAN, 48.92,-125.55
Alert Bay      ,BC,CN ,CWAQ, 50.58,-126.93
Argentia (MARS),NF,CN ,CWAR, 47.30, -54.00
Pam Rocks      ,BC,CN ,CWAS, 49.48,-123.30
Dryad Point Lig,--,CN ,CWAU, 52.18,-128.12
Sundre         ,AB,CN ,CWAV, 51.77,-114.68
Saint Anthony  ,NF,CN ,CWAX, 51.37, -55.63
Banff          ,AB,CN ,CWBA, 51.18,-115.57
Burgeo         ,NF,CN ,CWBD, 47.62, -57.62
Killarney (MAPS,ON,CN ,CWBE, 45.97, -81.48
Burgeo (AUTO)  ,NF,CN ,CWBF, 47.62, -57.63
Big Creek      ,BC,CN ,CWBG, 51.25,-123.08
Britt (MARS)   ,ON,CN ,CWBI, 45.80, -80.53
Inner Whaleback,NT,CN ,CWBJ, 61.92,-113.73
Caribou Point(M,NS,CN ,CWBK, 45.77, -62.68
Bachelors Islan,--,CN ,CWBL, 51.75, -99.90
Beaverlodge    ,AB,CN ,CWBM, 55.20,-119.40
Brooks (AUTO8) ,AB,CN ,CWBO, 50.55,-111.85
Brown Lake     ,NT,CN ,CWBR, 66.03, -91.83
Longue Pt De Mo,ON,CN ,CWBT, 50.27, -64.23
Beaver Island(M,NS,CN ,CWBV, 44.82, -62.33
Port Menier (MA,QB,CN ,CWBY, 49.83, -64.30
St Anicet      ,QB,CN ,CWBZ, 45.12, -74.28
Cartwright     ,NF,CN ,CWCA, 53.70, -57.03
Nanakwa Shoals ,--,CN ,CWCB, 53.82,-128.83
Saskatoon Kerne,--,CN ,CWCD, 52.15,-106.55
Atikokan (AUT) ,ON,CN ,CWCH, 48.75, -91.62
Caribou Isl (MA,ON,CN ,CWCI, 47.33, -85.83
Pukaskwa       ,ON,CN ,CWCJ, 48.60, -86.30
Clinton (MARS) ,BC,CN ,CWCL, 51.15,-121.50
Carberry Mcdc  ,MB,CN ,CWCM, 49.90, -99.35
Malloch Dome Au,--,CN ,CWCN, 78.22,-101.05
Collingwood (AU,ON,CN ,CWCO, 44.50, -80.22
Chatham (AUTO8),NB,CN ,CWCQ, 47.00, -65.47
Cote-Ste-Cath M,--,CN ,CWCS, 45.42, -73.57
Coronation(AUT),AB,CN ,CWCT, 52.07,-111.47
Barrie (MARS)  ,ON,CN ,CWCU, 44.38, -79.78
Clut Lake(AUT) ,NT,CN ,CWCX, 66.00,-117.77
Englee (MAPS)  ,NF,CN ,CWDA, 50.72, -56.12
Burwash (AUTO8),YK,CN ,CWDB, 61.37,-139.05
Uranium City(MA,SA,CN ,CWDC, 59.57,-108.48
Belle River (AU,ON,CN ,CWDD, 42.30, -82.70
Lac Benoit     ,--,CN ,CWDE, 51.55, -71.12
Oliphant\Ont   ,ON,CN ,CWDF, 44.73, -81.28
Daniel's Harbou,NF,CN ,CWDH, 50.23, -57.58
Badger (MARS)  ,NF,CN ,CWDI, 48.97, -56.07
Regina Universi,--,CN ,CWDJ, 50.40,-104.58
Claresholm (AUT,AB,CN ,CWDK, 50.02,-113.63
Dease Lake     ,BC,CN ,CWDL, 58.42,-130.02
Chevery (MARS) ,QB,CN ,CWDM, 50.47, -59.63
Wasaga Beach(AU,ON,CN ,CWDN, 44.52, -80.02
Twillingate (MA,NF,CN ,CWDO, 49.68, -54.80
Manouane-Est (A,QB,CN ,CWDP, 50.67, -70.53
La Tuque       ,QB,CN ,CWDQ, 47.42, -72.80
St. Lawrence, N,--,CN ,CWDS, 46.92, -55.38
Chute Des Passe,QB,CN ,CWDT, 49.90, -71.25
Cop Upper      ,AB,CN ,CWDU, 51.08,-114.22
Upsala (MARS)  ,ON,CN ,CWDV, 49.03, -90.47
Drumheller East,AB,CN ,CWDZ, 51.43,-112.67
Pinawa (AUTO8) ,MB,CN ,CWEA, 50.18, -96.07
Estevan Pt. (MA,BC,CN ,CWEB, 49.38,-126.55
Welcome Isl (AU,ON,CN ,CWEC, 48.37, -89.12
Chamouchouane A,QB,CN ,CWEE, 49.28, -73.35
St. Paul Isl(MA,NS,CN ,CWEF, 47.23, -60.13
Alberta Weather,--,CN ,CWEG, 53.50,-113.50
Eastend Cypress,SA,CN ,CWEH, 49.43,-108.98
Melita (AUTO8) ,MB,CN ,CWEI, 49.28,-100.98
Bow Drill III  ,--,CN ,CWEJ, 47.20, -55.10
Grey Islet (MAP,BC,CN ,CWEK, 54.58,-130.70
Entrance Il Aut,BC,CN ,CWEL, 49.22,-123.80
Lac Eon (MAPS) ,QB,CN ,CWEO, 51.87, -63.28
East Point (MAR,PE,CN ,CWEP, 46.45, -61.97
Swan River (MAR,MB,CN ,CWEQ, 52.12,-101.23
Ile D'Orleans(A,QB,CN ,CWER, 47.00, -70.82
Egbert (MAPS)  ,ON,CN ,CWET, 44.23, -79.78
Eureka         ,NT,CN ,CWEU, 79.98, -85.93
Ellice River(AU,NT,CN ,CWEV, 67.70,-104.47
L'Assomption   ,QB,CN ,CWEW, 45.82, -73.43
Saturna Isl (MA,BC,CN ,CWEZ, 48.78,-123.05
Cape Dyer Airpo,NT,CN ,CWFD, 66.58, -61.62
Elk Isl Ntl Prk,AB,CN ,CWFE, 53.68,-112.87
Melfort (AUTO8),SA,CN ,CWFF, 52.82,-104.60
Sartine Isl (MA,BC,CN ,CWFG, 50.82,-128.90
St.shotts      ,NF,CN ,CWFH, 46.72, -53.48
Cardston (AUT) ,AB,CN ,CWFJ, 49.20,-113.28
Fort Reliance  ,NT,CN ,CWFL, 62.72,-109.17
Chatham Point  ,BC,CN ,CWFM, 50.33,-125.43
Cree Lake (MAPS,SA,CN ,CWFN, 57.35,-107.13
Nain           ,NF,CN ,CWFP, 56.55, -61.70
Frelighsburg   ,QB,CN ,CWFQ, 45.05, -72.83
Horsefly River,,BC,CN ,CWFR, 52.28,-121.05
Little Macatina,NF,CN ,CWFU, 52.23, -61.32
Cape St James  ,BC,CN ,CWFV, 51.93,-131.02
Baie Comeau    ,--,CN ,CWFW, 49.27, -68.15
Colville Lake  ,NT,CN ,CWFX, 67.03,-126.08
Conne River    ,NF,CN ,CWFY, 48.17, -55.48
Fort Reliance  ,NT,CN ,CWFZ, 62.72,-109.18
Ballenas Il Aut,BC,CN ,CWGB, 49.35,-124.17
Goderich (AUTO8,ON,CN ,CWGD, 43.77, -81.72
Golden         ,BC,CN ,CWGE, 51.30,-116.98
Garden River(AU,AB,CN ,CWGF, 58.68,-113.88
Grenadier Islan,ON,CN ,CWGH, 44.42, -75.85
Montreal River ,--,CN ,CWGJ, 47.23, -84.52
Lagoon City    ,ON,CN ,CWGL, 44.53, -79.22
Waterton Park G,AB,CN ,CWGM, 59.13,-113.80
Gretna (MARS)  ,MB,CN ,CWGN, 49.03, -97.57
Pemberton (AUTO,BC,CN ,CWGP, 50.30,-122.73
Roquemaure     ,ON,CN ,CWGQ, 48.63, -79.45
Iles-De-La-Made,QB,CN ,CWGR, 47.42, -61.80
Sisters Il Auto,BC,CN ,CWGT, 49.48,-124.43
Carp Radar Site,--,CN ,CWGV, 45.32, -76.00
Sparwood (AUTO8,BC,CN ,CWGW, 49.75,-114.90
Esther 1       ,AB,CN ,CWGY, 51.67,-110.20
Grise Fiord Air,NT,CN ,CWGZ, 76.42, -82.90
Highvale       ,AB,CN ,CWHA, 53.45,-114.47
Vancouver (AUTO,BC,CN ,CWHC, 49.30,-123.12
Ellerslie      ,AB,CN ,CWHE, 53.42,-113.20
Hunters Point M,--,CN ,CWHH, 53.03,-100.93
Three Hills    ,AB,CN ,CWHI, 51.70,-113.22
Holland Rock(AU,BC,CN ,CWHL, 54.17,-130.37
Varennes       ,QB,CN ,CWHM, 45.72, -73.38
Jimmy Lake     ,SA,CN ,CWHN, 54.92,-109.95
Hopedale (MAPS),NF,CN ,CWHO, 55.45, -60.23
Heath Point (MA,QB,CN ,CWHP, 49.08, -61.70
Bernard Harbour,NT,CN ,CWHS, 68.78,-114.83
Haines Junction,YK,CN ,CWHT, 60.77,-137.58
